place_name,whether_calculated,is_people,pred_is_people,predicted_name
에이치앤엠헤,1,0,0,
엔알비환불,0,0,0,
엔젤스코인노,1,0,0,
엘프pccafe,1,0,0,
엠팩토리맨,1,0,0,
여기어때_   ,0,0,0,여기어
역전우동0410,1,0,0,
역전우동범계,1,0,0,
역전할인마트,1,0,0,
연풍휴게소매,1,0,0,연풍휴
연회비캐시백,0,0,0,연회비
염가매장,1,0,0,염가매
영아트,1,0,0,영아트
옛날농장,1,0,0,
오승민,0,1,1,오승민
오얏봉약국,1,0,0,오얏봉
오엑스PC해,1,0,0,오엑스
오즈쓰리팝PC,1,0,0,오즈쓰
오픈라운지스,1,0,0,오픈라
오행당약국,1,0,0,오행당
옥션(1588-01,0,0,0,
옥희네국수집,1,0,0,옥희네
온채당용산역,1,0,0,온채당
온천매점,1,0,0,온천매
올리브영범계,1,0,0,
와우PC-3,1,0,0,
왕대박감자탕,1,0,0,왕대박
왕순이김밥,1,0,0,왕순이
요기요,0,0,0,요기요
요꼬마꼬,1,0,0,요꼬마
용눈이농산물,1,0,0,용눈이
용돈,0,0,0,
용우동,1,0,0,용우동
우리동네다판,1,0,0,우리동
우리약국,1,0,0,우리약
우리워시평촌,1,0,0,우리워
우지커피평촌,1,0,0,우지커
우지커피평촌트리지,1,0,0,우지커
우지커피평촌학원가,1,0,0,우지커
원할머니보쌈,1,0,0,원할머
월드면,1,0,0,
웨이브(푹T,0,0,0,
웨이비스환불,0,0,0,
위너스피씨카,1,0,0,위너스
위넌스터디카,1,0,0,위넌스
유니클로,1,0,0,유니클
유미카츠범계,1,0,1,유미카
유앤아이스터,1,0,0,유앤아
유튜브멤버십,0,0,0,유튜브
육쌈냉면,1,0,0,육쌈냉
육장장이,1,0,0,육장장
육전밀면,1,0,0,육전밀
은혜청과,1,0,0,은혜청
응응스크르안,1,0,0,
응응스크르평,1,0,0,
이건민,0,1,1,이건민
이건민hvm   ,0,1,1,이건민
이건민SK33  ,0,1,1,이건민
이건민뉴로핏,0,1,1,이건민
이건민대한조선,0,1,1,이건민
이건민미래6 ,0,1,1,이건민
이건민스펙환,0,1,1,이건민
이건민시프트,0,1,1,이건민
이건민씨어스,0,1,1,이건민
이건민아이빔,0,1,1,이건민
이건민아이씨,0,1,1,이건민
이건민유라클,0,1,1,이건민
이건민이노스,0,1,1,이건민
이건민이뮨온,0,1,1,이건민
이건민인스피,0,1,1,이건민
이건민케이워,0,1,1,이건민
이건민케이웨,0,1,1,이건민
이건민코셈환,0,1,1,이건민
이건민하스환,0,1,1,이건민
이건민하이젠,0,1,1,이건민
이건민현대마,0,1,1,이건민
이건민현대힘,0,1,1,이건민
이네이처PC  ,1,0,0,이네이
이니시스(   ,1,0,0,이니시
이닉스매도,0,0,0,이닉스
이닉스환불,0,0,0,이닉스
이디야에소프,1,0,0,이디야
이디야커피논,1,0,0,이디야
이디야커피안,1,0,0,이디야
이름없는과일,1,0,0,이름없
이리로,1,0,0,이리로
이마트24R   ,1,0,0,이마트
이마트24R안양호계,1,0,0,이마트
