place_name,place_category_id,whether_calculated,is_people,is_securities_trading,is_financial_applications_used
연회비캐시백,9,0,0,1,0
염가매장,9,1,0,0,0
영아트,9,1,0,0,0
옛날농장,9,1,0,0,0
오승민,9,0,1,0,0
오얏봉약국,9,1,0,0,0
오엑스PC해,9,1,0,0,0
오즈쓰리팝PC,9,1,0,0,0
오픈라운지스,9,1,0,0,0
오행당약국,9,1,0,0,0
옥션(1588-01,9,0,0,0,0
옥희네국수집,9,1,0,0,0
온채당용산역,9,1,0,0,0
온천매점,9,1,0,0,0
올리브영범계,9,1,0,0,0
와우PC-3,9,1,0,0,0
왕대박감자탕,9,1,0,0,0
왕순이김밥,9,1,0,0,0
요기요,9,0,0,1,0
요꼬마꼬,9,1,0,0,0
용눈이농산물,9,1,0,0,0
용돈,9,0,0,0,0
용우동,9,1,0,0,0
우리동네다판,9,1,0,0,0
우리약국,9,1,0,0,0
우리워시평촌,9,1,0,0,0
우지커피평촌,9,1,0,0,0
우지커피평촌트리지,9,1,0,0,0
우지커피평촌학원가,9,1,0,0,0
원할머니보쌈,9,1,0,0,0
월드면,9,1,0,0,0
웨이브(푹T,9,0,0,0,0
웨이비스환불,9,0,0,0,0
위너스피씨카,9,1,0,0,0
위넌스터디카,9,1,0,0,0
유니클로,9,1,0,0,0
유미카츠범계,9,1,0,0,0
유앤아이스터,9,1,0,0,0
유튜브멤버십,9,0,0,0,0
육쌈냉면,9,1,0,0,0
육장장이,9,1,0,0,0
육전밀면,9,1,0,0,0
은혜청과,9,1,0,0,0
응응스크르안,9,1,0,0,0
응응스크르평,9,1,0,0,0
이건민,9,0,1,0,0
이건민hvm   ,9,0,1,1,0
이건민SK33  ,9,0,1,1,0
이건민뉴로핏,9,0,1,1,0
이건민대한조선,9,0,1,1,0
이건민미래6 ,9,0,1,1,0
이건민스펙환,9,0,1,1,0
이건민시프트,9,0,1,1,0
이건민씨어스,9,0,1,1,0
이건민아이빔,9,0,1,1,0
이건민아이씨,9,0,1,1,0
이건민유라클,9,0,1,1,0
이건민이노스,9,0,1,1,0
이건민이뮨온,9,0,1,1,0
이건민인스피,9,0,1,1,0
이건민케이워,9,0,1,1,0
이건민케이웨,9,0,1,1,0
이건민코셈환,9,0,1,1,0
이건민하스환,9,0,1,1,0
이건민하이젠,9,0,1,1,0
이건민현대마,9,0,1,1,0
이건민현대힘,9,0,1,1,0
