name,weight,percentage
결화,8,3.16521E-06
결희,14,5.53912E-06
겸,39,1.54304E-05
겸나,1,3.95652E-07
겸녕,1,3.95652E-07
겸령,1,3.95652E-07
겸린,1,3.95652E-07
겸민,2,7.91303E-07
겸비,13,5.14347E-06
겸빈,4,1.58261E-06
겸서,16,6.33043E-06
겸선,1,3.95652E-07
겸손,2,7.91303E-07
겸송,1,3.95652E-07
겸신,1,3.95652E-07
겸온,1,3.95652E-07
겸우,1,3.95652E-07
겸원,1,3.95652E-07
겸은,3,1.18695E-06
겸을,1,3.95652E-07
겸주,11,4.35217E-06
겸지,13,5.14347E-06
겸채,2,7.91303E-07
겸휘,2,7.91303E-07
겸희,6,2.37391E-06
경,87,3.44217E-05
경가,2,7.91303E-07
경걸,1,3.95652E-07
경경,1,3.95652E-07
경근,1,3.95652E-07
경금,4,1.58261E-06
경기,1,3.95652E-07
경길,1,3.95652E-07
경나,19,7.51738E-06
경나정,1,3.95652E-07
경난,30,1.18695E-05
경남,20,7.91303E-06
경내,1,3.95652E-07
경녀,1,3.95652E-07
경녕,1,3.95652E-07
경단,5,1.97826E-06
경담,13,5.14347E-06
경덕,1,3.95652E-07
경도,1,3.95652E-07
경동,1,3.95652E-07
경라,2,7.91303E-07
경라엘,1,3.95652E-07
경란,81,3.20478E-05
경랑,9,3.56086E-06
경래,2,7.91303E-07
경량,8,3.16521E-06
경려,2,7.91303E-07
경련,3,1.18695E-06
경령,40,1.58261E-05
경록,3,1.18695E-06
경륜,15,5.93477E-06
경률,5,1.97826E-06
경리,43,1.7013E-05
경린,102,4.03565E-05
경림,170,6.72608E-05
경명,5,1.97826E-06
경모,6,2.37391E-06
경목,2,7.91303E-07
경묘,1,3.95652E-07
경문,4,1.58261E-06
경미,244,9.6539E-05
경민,1134,0.000448669
경보,3,1.18695E-06
경복,1,3.95652E-07
경부,2,7.91303E-07
경빈,500,0.000197826
경사,3,1.18695E-06
경서,355,0.000140456
경선,86,3.4026E-05
경설,3,1.18695E-06
경성,3,1.18695E-06
경세,1,3.95652E-07
경소,3,1.18695E-06
경송,2,7.91303E-07
경수,10,3.95652E-06
경숙,41,1.62217E-05
경순,27,1.06826E-05
경승,2,7.91303E-07
경시,1,3.95652E-07
경신,3,1.18695E-06
경실,6,2.37391E-06
경심,5,1.97826E-06
경아,307,0.000121465
경안,5,1.97826E-06
경암,1,3.95652E-07
경애,36,1.42435E-05
경양,2,7.91303E-07
경언,33,1.30565E-05
경여,1,3.95652E-07
경연,128,5.06434E-05
경영,20,7.91303E-06
경예,3,1.18695E-06
경오,2,7.91303E-07
경옥,13,5.14347E-06
경온,2,7.91303E-07
경완,2,7.91303E-07
경요,2,7.91303E-07
경우,5,1.97826E-06
경욱,4,1.58261E-06
경운,4,1.58261E-06
경원,479,0.000189517
경위,1,3.95652E-07
경유,1,3.95652E-07
경윤,113,4.47086E-05
경율,2,7.91303E-07
경은,968,0.000382991
경의,7,2.76956E-06
경이,22,8.70434E-06
경인,82,3.24434E-05
경임,21,8.30868E-06
경자,66,2.6113E-05
경재,4,1.58261E-06
경정,1,3.95652E-07
경조,1,3.95652E-07
경주,146,5.77651E-05
경죽,1,3.95652E-07
경준,5,1.97826E-06
경지,38,1.50348E-05
경진,247,9.7726E-05
경진클로이,1,3.95652E-07
경찬,1,3.95652E-07
경채,35,1.38478E-05
경탁,1,3.95652E-07
경태,1,3.95652E-07
경평,1,3.95652E-07
경하,94,3.71913E-05
경한,3,1.18695E-06
경해,3,1.18695E-06
경행,1,3.95652E-07
경향,18,7.12173E-06
경헌,1,3.95652E-07
경현,160,6.33043E-05
경혜,43,1.7013E-05
경화,155,6.1326E-05
경환,2,7.91303E-07
경회,2,7.91303E-07
경효,4,1.58261E-06
경후,4,1.58261E-06
경훈,4,1.58261E-06
경휘,5,1.97826E-06
경흔,6,2.37391E-06
경희,275,0.000108804
계련,1,3.95652E-07
계령,16,6.33043E-06
계리,3,1.18695E-06
계리화,1,3.95652E-07
계림,7,2.76956E-06
계명,1,3.95652E-07
계선,5,1.97826E-06
계순,2,7.91303E-07
계아,1,3.95652E-07
계연,3,1.18695E-06
계영,13,5.14347E-06
계옥,1,3.95652E-07
계원,1,3.95652E-07
계월,1,3.95652E-07
계윤,2,7.91303E-07
계은,1,3.95652E-07
계임,1,3.95652E-07
계자,11,4.35217E-06
계진,3,1.18695E-06
계향,2,7.91303E-07
계현,2,7.91303E-07
고,3,1.18695E-06
고견,2,7.91303E-07
고결,4,1.58261E-06
고경,24,9.49564E-06
고고미,1,3.95652E-07
고균,1,3.95652E-07
고나,5,1.97826E-06
고내,1,3.95652E-07
고노지유,1,3.95652E-07
고누리,1,3.95652E-07
고니,3,1.18695E-06
고다희,1,3.95652E-07
고담,7,2.76956E-06
고대,1,3.95652E-07
고든,4,1.58261E-06
고디자,1,3.95652E-07
고맘,1,3.95652E-07
고메라다빈,1,3.95652E-07
고미,5,1.97826E-06
고빈,3,1.18695E-06
고빛나,3,1.18695E-06
고사랑,1,3.95652E-07
고샛별,1,3.95652E-07
고선,1,3.95652E-07
고세,1,3.95652E-07
고수,1,3.95652E-07
고아라,2,7.91303E-07
고야,9,3.56086E-06
고언,9,3.56086E-06
고연,6,2.37391E-06
고영,9,3.56086E-06
고예나,1,3.95652E-07
고오,1,3.95652E-07
고온,1,3.95652E-07
고요,1,3.95652E-07
고욤,1,3.95652E-07
고우,8,3.16521E-06
고우리,6,2.37391E-06
고운,557,0.000220378
고운결,1,3.95652E-07
고운나래,1,3.95652E-07
고운별,8,3.16521E-06
고운비,2,7.91303E-07
고운빛,2,7.91303E-07
고운샘,1,3.95652E-07
고운예슬,1,3.95652E-07
고운이,2,7.91303E-07
고울,5,1.97826E-06
고움,1,3.95652E-07
고원,73,2.88826E-05
고월,2,7.91303E-07
고유,12,4.74782E-06
고윤,44,1.74087E-05
고윤지,1,3.95652E-07
고율,8,3.16521E-06
고은,3839,0.001518907
고은미네,1,3.95652E-07
고은바다,1,3.95652E-07
고은별,8,3.16521E-06
고은비,1,3.95652E-07
고은빛,8,3.16521E-06
고은소리,1,3.95652E-07
고은솔,4,1.58261E-06
고은애,1,3.95652E-07
고은에린,1,3.95652E-07
고을,6,2.37391E-06
고이,6,2.37391E-06
고임,1,3.95652E-07
고지,1,3.95652E-07
고진,1,3.95652E-07
고코로,1,3.95652E-07
고토미,1,3.95652E-07
고토하,1,3.95652E-07
고하,1,3.95652E-07
고하루,2,7.91303E-07
고한별,1,3.95652E-07
고해림,1,3.95652E-07
고현,10,3.95652E-06
고혜,1,3.95652E-07
고호,2,7.91303E-07
고화,1,3.95652E-07
고후,1,3.95652E-07
고훈,1,3.95652E-07
고휘,3,1.18695E-06
고흔,6,2.37391E-06
고희,3,1.18695E-06
고희주,1,3.95652E-07
곤,1,3.95652E-07
곤노,1,3.95652E-07
곤명,1,3.95652E-07
곤이,2,7.91303E-07
곤정,1,3.95652E-07
곤지,4,1.58261E-06
곤희,1,3.95652E-07
골라리사,1,3.95652E-07
골웨이,1,3.95652E-07
공,2,7.91303E-07
공가,1,3.95652E-07
공감,1,3.95652E-07
공리,4,1.58261E-06
공명,2,7.91303E-07
공미,4,1.58261E-06
공민,1,3.95652E-07
공실,1,3.95652E-07
공심,1,3.95652E-07
공애,2,7.91303E-07
공예랑,1,3.95652E-07
공윤,5,1.97826E-06
공율,1,3.95652E-07
공은,2,7.91303E-07
공의,1,3.95652E-07
공이,1,3.95652E-07
공인,1,3.95652E-07
공자,6,2.37391E-06
공주,22,8.70434E-06
공지수,1,3.95652E-07
공채,1,3.95652E-07
공하,1,3.95652E-07
공하랑,1,3.95652E-07
공화,1,3.95652E-07
공희,3,1.18695E-06
과경,1,3.95652E-07
과나,3,1.18695E-06
과남,1,3.95652E-07
과류,1,3.95652E-07
과름,2,7.91303E-07
과림,2,7.91303E-07
과보,2,7.91303E-07
과붕,1,3.95652E-07
과수,1,3.95652E-07
과애,1,3.95652E-07
과연,2,7.91303E-07
과영,1,3.95652E-07
과윤,2,7.91303E-07
과혜,1,3.95652E-07
곽리아,1,3.95652E-07
곽민지,1,3.95652E-07
곽선,1,3.95652E-07
관,1,3.95652E-07
관나,3,1.18695E-06
관대,1,3.95652E-07
관빈,1,3.95652E-07
관선,1,3.95652E-07
관설,1,3.95652E-07
관성,1,3.95652E-07
관솔,1,3.95652E-07
관수,1,3.95652E-07
관영,13,5.14347E-06
관용,1,3.95652E-07
관우,1,3.95652E-07
관유,2,7.91303E-07
관자,3,1.18695E-06
관정,1,3.95652E-07
관지,1,3.95652E-07
관진,1,3.95652E-07
관채,2,7.91303E-07
관현,1,3.95652E-07
관화,1,3.95652E-07
관희,8,3.16521E-06
광,1,3.95652E-07
광강,3,1.18695E-06
광대,1,3.95652E-07
광덕,1,3.95652E-07
광류,1,3.95652E-07
광리,5,1.97826E-06
광메이,1,3.95652E-07
광명,1,3.95652E-07
광미,14,5.53912E-06
광복,2,7.91303E-07
광산,1,3.95652E-07
광선,1,3.95652E-07
광세,1,3.95652E-07
광숙,2,7.91303E-07
광순,3,1.18695E-06
광실,1,3.95652E-07
광심,1,3.95652E-07
광영,3,1.18695E-06
광옥,3,1.18695E-06
광우,1,3.95652E-07
광웅,1,3.95652E-07
광원,1,3.95652E-07
광은,1,3.95652E-07
광이,1,3.95652E-07
광임,1,3.95652E-07
광자,16,6.33043E-06
광주,1,3.95652E-07
광지,2,7.91303E-07
광진,1,3.95652E-07
광향,1,3.95652E-07
광현,2,7.91303E-07
광혜,8,3.16521E-06
광희,13,5.14347E-06
굉걸,1,3.95652E-07
굉나,1,3.95652E-07
굉대,1,3.95652E-07
굉미,4,1.58261E-06
굉자,1,3.95652E-07
교경,3,1.18695E-06
교금,1,3.95652E-07
교나,9,3.56086E-06
교능,1,3.95652E-07
교담,12,4.74782E-06
교라,1,3.95652E-07
교람,2,7.91303E-07
교랑,2,7.91303E-07
교렴,3,1.18695E-06
교령,23,9.09999E-06
교리,20,7.91303E-06
교린,71,2.80913E-05
교림,44,1.74087E-05
교명,1,3.95652E-07
교민,20,7.91303E-06
교빈,115,4.54999E-05
교서,3,1.18695E-06
교선,9,3.56086E-06
교성,2,7.91303E-07
교아,8,3.16521E-06
교양,1,3.95652E-07
교언,2,7.91303E-07
교연,62,2.45304E-05
교영,48,1.89913E-05
교예,1,3.95652E-07
교온,2,7.91303E-07
교우,1,3.95652E-07
교운,2,7.91303E-07
교원,38,1.50348E-05
교유,1,3.95652E-07
교윤,26,1.02869E-05
교율,1,3.95652E-07
교은,200,7.91303E-05
교은제,1,3.95652E-07
교은후,1,3.95652E-07
교의,1,3.95652E-07
교이,6,2.37391E-06
교인,1,3.95652E-07
교임,1,3.95652E-07
교자,2,7.91303E-07
교정,2,7.91303E-07
교진,27,1.06826E-05
교카,1,3.95652E-07
교하,4,1.58261E-06
교향,1,3.95652E-07
교현,31,1.22652E-05
교흠,1,3.95652E-07
교희,15,5.93477E-06
구,2,7.91303E-07
구결,1,3.95652E-07
구경,1,3.95652E-07
구나,1,3.95652E-07
구나래,1,3.95652E-07
구담,1,3.95652E-07
구드랏,1,3.95652E-07
구루,1,3.95652E-07
구름,49,1.93869E-05
구리,1,3.95652E-07
구미,15,5.93477E-06
구미자,1,3.95652E-07
구비,2,7.91303E-07
구빈,3,1.18695E-06
구선,1,3.95652E-07
구순,1,3.95652E-07
구슬,13,5.14347E-06
구실,1,3.95652E-07
구에나엘유미,1,3.95652E-07
구에니스바다,1,3.95652E-07
구연,6,2.37391E-06
구영,2,7.91303E-07
구온,1,3.95652E-07
구우,1,3.95652E-07
구우리,1,3.95652E-07
구원,5,1.97826E-06
구월,1,3.95652E-07
구윤,5,1.97826E-06
구율,1,3.95652E-07
구은,1,3.95652E-07
구이네스,1,3.95652E-07
